bridge_rank,runtime_path,module,indegree,outdegree,orchestrator_depth,bridge_score
1,ciel_omega/memory/orchestrator.py,ciel_omega.memory.orchestrator,1,13,0,14
2,ciel_omega/memory/episodic.py,ciel_omega.memory.episodic,4,1,1,5
3,ciel_omega/ciel/llm_registry.py,ciel_omega.ciel.llm_registry,1,3,1,4
4,ciel_omega/memory/affective_memory.py,ciel_omega.memory.affective_memory,1,3,1,4
5,ciel_omega/memory/dynamics.py,ciel_omega.memory.dynamics,1,3,1,4
6,ciel_omega/memory/holonomy.py,ciel_omega.memory.holonomy,2,2,1,4
7,ciel_omega/memory/procedural_memory.py,ciel_omega.memory.procedural_memory,1,3,1,4
8,ciel_omega/memory/semantic_memory.py,ciel_omega.memory.semantic_memory,1,3,1,4
9,ciel_omega/memory/identity_memory.py,ciel_omega.memory.identity_memory,1,2,1,3
10,ciel_omega/memory/perceptual_memory.py,ciel_omega.memory.perceptual_memory,1,2,1,3
11,ciel_omega/memory/working_memory.py,ciel_omega.memory.working_memory,1,2,1,3
12,ciel_omega/memory/audit_journal.py,ciel_omega.memory.audit_journal,1,1,1,2
13,ciel_omega/memory/braid_invariant.py,ciel_omega.memory.braid_invariant,1,1,1,2
14,ciel_omega/vocabulary/extended_concepts.py,ciel_omega.vocabulary.extended_concepts,1,1,1,2
15,ciel_omega/vocabulary/field_dynamics.py,ciel_omega.vocabulary.field_dynamics,1,1,1,2
16,ciel_omega/vocabulary/transcendent.py,ciel_omega.vocabulary.transcendent,1,1,1,2
17,ciel_omega/memory/coupling.py,ciel_omega.memory.coupling,4,1,2,5
18,ciel_omega/memory/potential.py,ciel_omega.memory.potential,1,3,2,4
19,ciel_omega/ciel/gguf_backends.py,ciel_omega.ciel.gguf_backends,1,1,2,2
20,ciel_omega/ciel/hf_backends.py,ciel_omega.ciel.hf_backends,1,1,2,2
21,ciel_omega/core/braid/runtime.py,ciel_omega.core.braid.runtime,2,6,,8
22,ciel_omega/bridge/memory_core_phase_bridge.py,ciel_omega.bridge.memory_core_phase_bridge,1,6,,7
23,ciel_omega/core/braid/loops.py,ciel_omega.core.braid.loops,5,1,,6
24,ciel_omega/orbital/global_pass.py,ciel_omega.orbital.global_pass,2,4,,6
25,ciel_omega/core/braid/glyphs.py,ciel_omega.core.braid.glyphs,3,2,,5
26,ciel_omega/core/braid/scheduler.py,ciel_omega.core.braid.scheduler,2,1,,3
27,ciel_omega/orbital/dynamics.py,ciel_omega.orbital.dynamics,1,2,,3
28,ciel_omega/orbital/metrics.py,ciel_omega.orbital.metrics,2,1,,3
29,ciel_omega/unified_system.py,ciel_omega.unified_system,1,2,,3
30,ciel_omega/constraints/euler_constraint.py,ciel_omega.constraints.euler_constraint,1,1,,2
31,ciel_omega/orbital/registry.py,ciel_omega.orbital.registry,1,1,,2
32,ciel_omega/vocabulary_tools/symbol_extractor.py,ciel_omega.vocabulary_tools.symbol_extractor,1,1,,2
