path,function_name,lineno,node_type,operation_class,is_critical_mechanism_function
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_param,8,arguments,arguments,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_param,9,Return,return,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_param,8,Name,name,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,bloch_vector,11,arguments,arguments,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,bloch_vector,12,Return,return,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_radius,14,arguments,arguments,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_radius,15,Return,return,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_radius,14,Name,name,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,theta_from_rho,17,arguments,arguments,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,theta_from_rho,18,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,theta_from_rho,19,Return,return,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,theta_from_rho,17,Name,name,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,21,arguments,arguments,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,22,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,23,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,24,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,25,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,26,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,27,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,28,Assign,assign,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,29,Return,return,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,21,Name,name,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,31,arguments,arguments,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,32,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,33,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,34,Return,return,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,31,Name,name,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,36,arguments,arguments,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,37,If,if,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,39,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,40,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,41,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,42,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,43,Return,return,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,36,Name,name,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,45,arguments,arguments,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,46,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,47,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,48,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,49,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,50,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,50,Assign,assign,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,51,If,if,1
