canonical_path,extension,size_bytes,line_count,py_functions,py_classes,import_in_repo_count,import_external_count,contains_phase,contains_memory,contains_reduction,contains_truth,contains_holonomy,contains_tau,contains_registry,contains_constraint,contains_potential,contains_orchestrator
CANONICAL_BUILD_MANIFEST.md,.md,3004,80,0,0,0,0,1,1,0,0,0,0,1,1,0,0
CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,.db,12288,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIEL_MEMORY_SYSTEM/WPM/wave_snapshots/wave_archive.h5,.h5,1832,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA_LAYER_POLICY.md,.md,2066,43,0,0,0,0,0,1,0,0,0,0,1,0,0,0
MERGE_MANIFEST.md,.md,846,20,0,0,0,0,1,1,0,0,0,0,0,0,0,1
README.md,.md,8018,304,0,0,0,0,1,1,0,0,1,1,1,1,1,1
ciel_omega/CIEL_MEMORY_SYSTEM/TSM/ledger/memory_ledger.db,.db,12288,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/HOW_AI_WORKS_WITH_CIEL.md,.md,14292,290,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ciel_omega/LICENSE,,5137,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ciel_omega/MEMORY_SECTOR_MANIFEST.md,.md,1030,34,0,0,0,0,0,1,0,0,1,0,1,0,1,1
ciel_omega/README.md,.md,4463,178,0,0,0,0,1,1,1,0,0,0,0,1,0,1
ciel_omega/README_old.md,.md,8921,176,0,0,0,0,0,1,0,0,0,0,1,1,1,1
ciel_omega/__init__.py,.py,289,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/bio/__init__.py,.py,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/bio/crystal_receiver.py,.py,1136,37,1,1,0,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/bio/eeg_emotion_mapper.py,.py,1524,48,1,1,0,4,1,0,0,0,0,0,0,0,0,0
ciel_omega/bio/eeg_processor.py,.py,1458,51,2,1,0,4,1,0,0,0,0,0,0,0,0,0
ciel_omega/bio/schumann.py,.py,1392,47,4,1,0,5,1,0,0,0,0,0,0,0,0,0
ciel_omega/bridge/AGENT.md,.md,542,21,0,0,0,0,0,1,0,0,1,0,0,1,0,0
ciel_omega/bridge/README.md,.md,477,25,0,0,0,0,0,1,0,0,1,0,1,1,0,0
ciel_omega/bridge/__init__.py,.py,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,.py,9460,200,14,7,6,7,1,1,0,0,1,1,1,1,0,1
ciel_omega/calibration/__init__.py,.py,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/calibration/rcde.py,.py,2872,86,5,3,0,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/__init__.py,.py,395,13,0,0,0,3,0,0,0,0,0,0,1,0,0,0
ciel_omega/ciel/__main__.py,.py,5292,166,8,0,2,8,0,0,0,0,0,0,1,0,0,0
ciel_omega/ciel/cli.py,.py,1572,61,4,0,0,6,0,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/engine.py,.py,5845,150,4,1,0,16,0,1,0,0,0,0,0,0,0,1
ciel_omega/ciel/gguf_backends.py,.py,7004,220,11,2,1,6,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,.py,4589,135,10,2,1,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/language_backend.py,.py,514,29,2,2,0,2,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,.py,12548,391,17,4,3,7,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/memory/__init__.py,.py,159,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1
ciel_omega/ciel_client.py,.py,5653,152,5,1,0,8,0,0,0,0,0,0,0,1,0,1
ciel_omega/ciel_io/__init__.py,.py,130,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel_io/bootstrap.py,.py,974,36,1,1,0,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel_io/reality_logger.py,.py,832,33,2,1,0,5,0,0,0,0,0,0,1,0,0,0
ciel_omega/ciel_io/simple_loader.py,.py,1658,56,2,1,0,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/ciel_orchestrator.py,.py,7568,215,6,1,0,15,0,1,0,0,0,0,0,0,0,1
