runtime_path,module,orchestrator_depth,total_symbol_hits,active_symbol_count
ciel_omega/phase_equation_of_motion.py,,3,334,9
ciel_omega/demo_full_pipeline.py,,,226,7
ciel_omega/memory/monolith/unified_memory.py,,,212,6
ciel_omega/holonomy_cosmic_seismic.py,,,180,7
ciel_omega/constraints/euler_constraint.py,,2,162,4
ciel_omega/ext/ext20.py,,,128,5
ciel_omega/memory/__init__.py,,,122,4
ciel_omega/bridge/memory_core_phase_bridge.py,,1,118,7
ciel_omega/demo_memory_system.py,,,118,4
ciel_omega/memory/holonomy.py,,1,110,5
ciel_omega/test_m6_1_acceptance.py,,,110,4
ciel_omega/ext/ext21.py,,,108,4
ciel_omega/runtime/agent/adam_core.py,,,108,4
ciel_omega/ext/ext18.py,,,102,3
ciel_omega/orbital/metrics.py,,,102,8
ciel_omega/memory/orchestrator.py,,0,100,5
ciel_omega/orbital/extract_geometry.py,,,100,6
ciel_omega/core/physics/definite_kernel.py,,,96,2
ciel_omega/demo_m6_identity_memory.py,,,96,2
ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,,,94,5
ciel_omega/phase_sweep_analysis.py,,,86,6
ciel_omega/memory/braid_invariant.py,,1,84,5
ciel_omega/relational_formalism.py,,,82,4
ciel_omega/demo_validation_fixes.py,,,80,4
ciel_omega/demo_holonomy_eba.py,,,76,6
ciel_omega/memory/coupling.py,,2,76,5
ciel_omega/memory/monolith/cli.py,,,74,5
ciel_omega/monolit.py,,,74,9
ciel_omega/memory/base.py,,1,72,3
ciel_omega/vocabulary/orchestrator.py,,3,72,6
ciel_omega/memory/monolith/tmp_processor.py,,,70,5
ciel_omega/demo_ciel_omega_complete.py,,,66,6
ciel_omega/memory/potential.py,,2,64,5
ciel_omega/ext/ext19.py,,,62,4
ciel_omega/memory/audit_journal.py,,1,62,5
ciel_omega/orbital/dynamics.py,,,62,6
ciel_omega/ciel/engine.py,,,58,6
ciel_omega/mathematics/universal_law/universal_engine.py,,,58,9
ciel_omega/memory/monolith/orchestrator.py,,,58,5
ciel_omega/ciel_orchestrator.py,,0,56,4
ciel_omega/memory/dynamics.py,,1,56,3
ciel_omega/ext/ext10.py,,,54,5
ciel_omega/runtime/omega/omega_runtime.py,,0,54,5
ciel_omega/ext/ext17.py,,,52,2
ciel_omega/core/physics/csf_simulator.py,,,48,4
ciel_omega/core/quantum/quantum_engine.py,,,48,7
ciel_omega/core/physics/ciel0_framework.py,,2,46,3
ciel_omega/mathematics/lie4/lie4_full.py,,,46,8
ciel_omega/ext/ext6.py,,,42,2
ciel_omega/fields/unified_sigma_field.py,,,42,2
ciel_omega/coriolis_cymatics.py,,,40,5
ciel_omega/ext/ext7.py,,,40,6
ciel_omega/unified_system.py,,0,38,4
ciel_omega/ext/ext1.py,,,36,4
ciel_omega/vocabulary/planetary_archetypes.py,,3,36,3
ciel_omega/experiments/lab_registry.py,,,34,2
ciel_omega/ext/ext5.py,,,34,2
ciel_omega/ext/ext9.py,,,34,4
ciel_omega/integration/information_flow.py,,,32,3
ciel_omega/mathematics/paradoxes/ultimate_operators.py,,,32,8
ciel_omega/memory/episodic.py,,1,32,2
ciel_omega/core/braid/defaults.py,,,30,2
ciel_omega/memory/identity_memory.py,,1,30,2
ciel_omega/memory/monolith/defaults.py,,,30,3
ciel_omega/test_holonomic_orchestrator.py,,,30,3
ciel_omega/ext/ext3.py,,,28,3
ciel_omega/orbital/global_pass.py,,,28,7
ciel_omega/runtime/backend_adapter.py,,,28,3
ciel_omega/test_affective_memory_consolidation.py,,,28,3
ciel_omega/test_semantic_memory_consolidation.py,,,28,3
ciel_omega/runtime/agent/resonance_optimizer.py,,,26,3
ciel_omega/memory/monolith/__init__.py,,,24,3
ciel_omega/test_perceptual_memory_consolidation.py,,,24,3
ciel_omega/test_procedural_memory.py,,,24,2
ciel_omega/test_working_memory.py,,,24,2
ciel_omega/test_working_memory_consolidation.py,,,24,3
ciel_omega/vocabulary/test_gguf_pipeline.py,,,24,4
ciel_omega/fields/sigma_series.py,,,22,3
ciel_omega/runtime/omega/boot_ritual.py,,,22,2
ciel_omega/test_procedural_memory_consolidation.py,,,22,3
ciel_omega/cognition/intuition.py,,,20,2
ciel_omega/core/braid/runtime.py,,,20,2
ciel_omega/runtime/agent/adam_memory.py,,,20,4
ciel_omega/test_perceptual_memory.py,,,20,2
