symbol,runtime_path,function_name,qualname,orchestrator_depth,status,evidence
Delta_H,ciel_omega/constraints/euler_constraint.py,apply_active_euler_feedback,apply_active_euler_feedback,2,candidate,function-name
Delta_H,ciel_omega/constraints/euler_constraint.py,euler_constraint_violation,euler_constraint_violation,2,candidate,function-name
Delta_H,ciel_omega/constraints/euler_constraint.py,evaluate_unified_euler_constraint,evaluate_unified_euler_constraint,2,candidate,function-name
Delta_H,ciel_omega/demo_validation_fixes.py,validate_global_defects,validate_global_defects,,candidate,function-name
Delta_H,ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,centroid_defect,centroid_defect,,candidate,function-name
Delta_H,ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,grad_tetra_defect,grad_tetra_defect,,candidate,function-name
Delta_H,ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,tetra_defect,tetra_defect,,candidate,function-name
Delta_H,ciel_omega/holonomy_cosmic_seismic.py,euler_closure_error,euler_closure_error,,candidate,function-name
Delta_H,ciel_omega/holonomy_cosmic_seismic.py,holonomic_defect,holonomic_defect,,candidate,function-name
Delta_H,ciel_omega/memory/audit_journal.py,log_defect,log_defect,1,candidate,function-name
Delta_H,ciel_omega/memory/holonomy.py,compute_eba_defect,compute_eba_defect,1,candidate,function-name
Delta_H,ciel_omega/memory/potential.py,compute_global_identity_defect,compute_global_identity_defect,2,candidate,function-name
Delta_H,ciel_omega/memory/potential.py,compute_global_memory_defect,compute_global_memory_defect,2,candidate,function-name
Delta_H,ciel_omega/monolit.py,holonomic_defect_ts,holonomic_defect_ts,,candidate,function-name
Delta_H,ciel_omega/orbital/metrics.py,closure_details,closure_details,,candidate,function-name
Delta_H,ciel_omega/orbital/metrics.py,closure_penalty,closure_penalty,,candidate,function-name
Delta_H,ciel_omega/orbital/metrics.py,closure_residuals,closure_residuals,,candidate,function-name
Delta_H,ciel_omega/orbital/metrics.py,holonomy_defect,holonomy_defect,,candidate,function-name
Delta_H,ciel_omega/orbital/metrics.py,zeta_tetra_defect,zeta_tetra_defect,,candidate,function-name
Delta_H,ciel_omega/phase_equation_of_motion.py,euler_constraint_violation,euler_constraint_violation,3,candidate,function-name
Delta_H,ciel_omega/relational_formalism.py,holonomic_defect,holonomic_defect,,candidate,function-name
Delta_H,ciel_omega/test_defect_minimization.py,test_defect_evolution,test_defect_evolution,,candidate,function-name
EulerBerry,ciel_omega/constraints/euler_constraint.py,apply_active_euler_feedback,apply_active_euler_feedback,2,candidate,function-name
EulerBerry,ciel_omega/constraints/euler_constraint.py,euler_constraint_violation,euler_constraint_violation,2,candidate,function-name
EulerBerry,ciel_omega/constraints/euler_constraint.py,evaluate_unified_euler_constraint,evaluate_unified_euler_constraint,2,candidate,function-name
EulerBerry,ciel_omega/holonomy_cosmic_seismic.py,euler_closure_error,euler_closure_error,,candidate,function-name
EulerBerry,ciel_omega/memory/holonomy.py,compute_berry_phase,compute_berry_phase,1,candidate,function-name
EulerBerry,ciel_omega/orbital/metrics.py,berry_pair_phase,berry_pair_phase,,candidate,function-name
EulerBerry,ciel_omega/phase_equation_of_motion.py,euler_constraint_violation,euler_constraint_violation,3,candidate,function-name
R_H,ciel_omega/core/braid/memory.py,coherence,coherence,,candidate,function-name
R_H,ciel_omega/core/math_utils.py,coherence_metric,coherence_metric,,candidate,function-name
R_H,ciel_omega/core/physics/ciel0_framework.py,analyze_coherence_dynamics,analyze_coherence_dynamics,2,candidate,function-name
R_H,ciel_omega/core/physics/definite_kernel.py,law_reality_coherence,law_reality_coherence,,candidate,function-name
R_H,ciel_omega/core/physics/reality_laws.py,law_reality_coherence,law_reality_coherence,,candidate,function-name
R_H,ciel_omega/core/quantum/resonance_kernel.py,is_coherent,is_coherent,,candidate,function-name
R_H,ciel_omega/ext/ext17.py,coherence_metric,coherence_metric,,candidate,function-name
R_H,ciel_omega/ext/ext18.py,coherence,coherence,,candidate,function-name
R_H,ciel_omega/ext/ext7.py,is_coherent,is_coherent,,candidate,function-name
R_H,ciel_omega/holonomy_cosmic_seismic.py,holonomic_defect,holonomic_defect,,candidate,function-name
R_H,ciel_omega/holonomy_cosmic_seismic.py,holonomy_measure,holonomy_measure,,candidate,function-name
R_H,ciel_omega/inference/topology_api.py,get_coherence_index,get_coherence_index,,candidate,function-name
R_H,ciel_omega/mathematics/paradoxes/ultimate_operators.py,compute_paradox_coherence,compute_paradox_coherence,,candidate,function-name
R_H,ciel_omega/mathematics/paradoxes/ultimate_operators.py,watanabe_coherence_operator,watanabe_coherence_operator,,candidate,function-name
R_H,ciel_omega/mathematics/safe_operations.py,coherence,coherence,,candidate,function-name
R_H,ciel_omega/mathematics/universal_law/universal_engine.py,collatz_twinprime_rhythm_4d,collatz_twinprime_rhythm_4d,,candidate,function-name
R_H,ciel_omega/memory/base.py,coherence_with,coherence_with,1,candidate,function-name
R_H,ciel_omega/memory/braid_invariant.py,_compute_holonomy,_compute_holonomy,1,candidate,function-name
R_H,ciel_omega/memory/braid_invariant.py,compute_coherence,compute_coherence,1,candidate,function-name
R_H,ciel_omega/monolit.py,holonomic_defect_ts,holonomic_defect_ts,,candidate,function-name
R_H,ciel_omega/monolit.py,holonomy_scan,holonomy_scan,,candidate,function-name
R_H,ciel_omega/orbital/metrics.py,global_coherence,global_coherence,,candidate,function-name
R_H,ciel_omega/orbital/metrics.py,holonomy_defect,holonomy_defect,,candidate,function-name
R_H,ciel_omega/orbital/metrics.py,theta_from_rho,theta_from_rho,,candidate,function-name
R_H,ciel_omega/orbital/phase_control.py,coherence_index_from_snapshot,coherence_index_from_snapshot,,candidate,function-name
R_H,ciel_omega/orbital/registry.py,rho_from_theta,rho_from_theta,,candidate,function-name
R_H,ciel_omega/phase_equation_of_motion.py,collatz_rhythm,collatz_rhythm,3,candidate,function-name
R_H,ciel_omega/relational_formalism.py,holonomic_defect,holonomic_defect,,candidate,function-name
R_H,ciel_omega/test_orbital_rh_control.py,test_rh_controller_modes,test_rh_controller_modes,,candidate,function-name
R_H,ciel_omega/test_orbital_rh_control.py,test_rh_controller_sector_override,test_rh_controller_sector_override,,candidate,function-name
R_H,ciel_omega/vocabulary/demo_core_concepts.py,demo_coherence,demo_coherence,,candidate,function-name
Sigma_i,ciel_omega/ext/ext1.py,compute_sigma_invariant,compute_sigma_invariant,,candidate,function-name
Sigma_i,ciel_omega/ext/ext10.py,sigma_supplier,sigma_supplier,,candidate,function-name
Sigma_i,ciel_omega/fields/soul_invariant.py,compute_sigma_invariant,compute_sigma_invariant,,candidate,function-name
V_rel,ciel_omega/config/constants.py,planck_energy,planck_energy,,candidate,function-name
V_rel,ciel_omega/core/physics/ciel0_framework.py,unified_lagrangian,unified_lagrangian,2,candidate,function-name
V_rel,ciel_omega/core/quantum/quantum_engine.py,lagrangian_density,lagrangian_density,,candidate,function-name
V_rel,ciel_omega/coriolis_cymatics.py,possibility_potential,possibility_potential,,candidate,function-name
V_rel,ciel_omega/ethics/ethical_engine.py,energy_to_time,energy_to_time,,candidate,function-name
V_rel,ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,total_potential,total_potential,,candidate,function-name
V_rel,ciel_omega/ext/ext3.py,planck_energy,planck_energy,,candidate,function-name
V_rel,ciel_omega/ext/ext4.py,energy_to_time,energy_to_time,,candidate,function-name
V_rel,ciel_omega/ext/ext7.py,field_energy,field_energy,,candidate,function-name
V_rel,ciel_omega/ext/ext7.py,planck_energy,planck_energy,,candidate,function-name
V_rel,ciel_omega/mathematics/lie4/lie4_full.py,compute_lagrangian_density,compute_lagrangian_density,,candidate,function-name
V_rel,ciel_omega/mathematics/paradoxes/ultimate_operators.py,_potential_terms,_potential_terms,,candidate,function-name
V_rel,ciel_omega/mathematics/paradoxes/ultimate_operators.py,compute_complete_lagrangian_density,compute_complete_lagrangian_density,,candidate,function-name
V_rel,ciel_omega/mathematics/universal_law/universal_engine.py,compute_lagrangian_density,compute_lagrangian_density,,candidate,function-name
V_rel,ciel_omega/memory/dynamics.py,get_energy_trajectory,get_energy_trajectory,1,candidate,function-name
V_rel,ciel_omega/memory/holonomy.py,compute_eba_potential_component,compute_eba_potential_component,1,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_alignment_potential,compute_alignment_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_conflict_potential,compute_conflict_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_drift_potential,compute_drift_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_eba_potential,compute_eba_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_force_from_potential,compute_force_from_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_monitored_energy,compute_monitored_energy,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_noise_potential,compute_noise_potential,2,candidate,function-name
V_rel,ciel_omega/memory/potential.py,compute_static_potential,compute_static_potential,2,candidate,function-name
V_rel,ciel_omega/orbital/dynamics.py,_perturbed_potential,_perturbed_potential,,candidate,function-name
V_rel,ciel_omega/orbital/metrics.py,total_relational_potential,total_relational_potential,,candidate,function-name
W_ij,ciel_omega/bridge/memory_core_phase_bridge.py,compute_white_thread_amplitude,compute_white_thread_amplitude,1,candidate,function-name
W_ij,ciel_omega/holonomy_cosmic_seismic.py,holonomy_measure,holonomy_measure,,candidate,function-name
W_ij,ciel_omega/holonomy_cosmic_seismic.py,white_thread_amplitude,white_thread_amplitude,,candidate,function-name
W_ij,ciel_omega/memory/braid_invariant.py,_compute_holonomy,_compute_holonomy,1,candidate,function-name
W_ij,ciel_omega/monolit.py,holonomy_scan,holonomy_scan,,candidate,function-name
W_ij,ciel_omega/orbital/metrics.py,holonomy_defect,holonomy_defect,,candidate,function-name
W_ij,ciel_omega/phase_equation_of_motion.py,white_thread_current,white_thread_current,3,candidate,function-name
W_ij,ciel_omega/phase_equation_of_motion.py,white_thread_zeta_weighted,white_thread_zeta_weighted,3,candidate,function-name
gamma_i,ciel_omega/bio/schumann.py,phase,phase,,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,_apply_phase_pull,_apply_phase_pull,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,_build_affect_phase_vector,_build_affect_phase_vector,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,_build_core_phase_vector,_build_core_phase_vector,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,_build_vocabulary_phase_vector,_build_vocabulary_phase_vector,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,_canonical_id_to_phase,_canonical_id_to_phase,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,circular_target_phase,circular_target_phase,2,candidate,function-name
gamma_i,ciel_omega/constraints/euler_constraint.py,phase_sector,phase_sector,2,candidate,function-name
gamma_i,ciel_omega/demo_memory_system.py,demo_phase_dynamics,demo_phase_dynamics,,candidate,function-name
gamma_i,ciel_omega/emotion/empathic_engine.py,phase_blend,phase_blend,,candidate,function-name
gamma_i,ciel_omega/ext/ext17.py,phase,phase,,candidate,function-name
gamma_i,ciel_omega/ext/ext18.py,phase,phase,,candidate,function-name
gamma_i,ciel_omega/ext/ext20.py,phase,phase,,candidate,function-name
gamma_i,ciel_omega/ext/ext9.py,phase_blend,phase_blend,,candidate,function-name
gamma_i,ciel_omega/holonomy_cosmic_seismic.py,analytic_phase,analytic_phase,,candidate,function-name
gamma_i,ciel_omega/holonomy_cosmic_seismic.py,phase_distance,phase_distance,,candidate,function-name
gamma_i,ciel_omega/inference/topology_api.py,get_phase,get_phase,,candidate,function-name
gamma_i,ciel_omega/inference/topology_api.py,sync_to_phase,sync_to_phase,,candidate,function-name
gamma_i,ciel_omega/memory/base.py,update_phase,update_phase,1,candidate,function-name
gamma_i,ciel_omega/memory/braid_invariant.py,_retrieve_by_phase,_retrieve_by_phase,1,candidate,function-name
gamma_i,ciel_omega/memory/braid_invariant.py,update_phase_history,update_phase_history,1,candidate,function-name
gamma_i,ciel_omega/memory/coupling.py,compute_phase_shift_matrix,compute_phase_shift_matrix,2,candidate,function-name
gamma_i,ciel_omega/memory/holonomy.py,compute_ab_phase,compute_ab_phase,1,candidate,function-name
gamma_i,ciel_omega/memory/holonomy.py,compute_berry_phase,compute_berry_phase,1,candidate,function-name
gamma_i,ciel_omega/memory/holonomy.py,compute_dynamical_phase,compute_dynamical_phase,1,candidate,function-name
gamma_i,ciel_omega/memory/monolith/defaults.py,gamma_from_categories,gamma_from_categories,,candidate,function-name
gamma_i,ciel_omega/memory/monolith/unified_memory.py,gamma_from_categories,gamma_from_categories,,candidate,function-name
gamma_i,ciel_omega/monolit.py,analytic_phase,analytic_phase,,candidate,function-name
gamma_i,ciel_omega/orbital/metrics.py,berry_pair_phase,berry_pair_phase,,candidate,function-name
gamma_i,ciel_omega/orbital/metrics.py,effective_phase_zeta,effective_phase_zeta,,candidate,function-name
gamma_i,ciel_omega/orbital/phase_control.py,phase_lock_error,phase_lock_error,,candidate,function-name
gamma_i,ciel_omega/phase_equation_of_motion.py,dR_H_dgamma,dR_H_dgamma,3,candidate,function-name
gamma_i,ciel_omega/phase_equation_of_motion.py,dV_I_dgamma,dV_I_dgamma,3,candidate,function-name
gamma_i,ciel_omega/phase_equation_of_motion.py,dV_total_dgamma,dV_total_dgamma,3,candidate,function-name
gamma_i,ciel_omega/phase_equation_of_motion.py,perturb_phase,perturb_phase,3,candidate,function-name
gamma_i,ciel_omega/phase_equation_of_motion.py,phase_sector,phase_sector,3,candidate,function-name
gamma_i,ciel_omega/relational_formalism.py,compute_phases,compute_phases,,candidate,function-name
gamma_i,ciel_omega/vocabulary/core_concepts.py,detect_phase_lock,detect_phase_lock,3,candidate,function-name
gamma_i,ciel_omega/vocabulary/field_dynamics.py,optimize_phase,optimize_phase,3,candidate,function-name
gamma_i,ciel_omega/vocabulary/transcendent.py,phase_shift,phase_shift,3,candidate,function-name
memory,ciel_omega/bridge/memory_core_phase_bridge.py,_memory_to_core,_memory_to_core,1,candidate,function-name
memory,ciel_omega/constraints/euler_constraint.py,_memory_stats,_memory_stats,2,candidate,function-name
memory,ciel_omega/demo_holonomy_eba.py,demo_consolidation_gates,demo_consolidation_gates,,candidate,function-name
memory,ciel_omega/demo_memory_system.py,demo_audit_journal,demo_audit_journal,,candidate,function-name
memory,ciel_omega/demo_memory_system.py,demo_braid_memory,demo_braid_memory,,candidate,function-name
memory,ciel_omega/demo_memory_system.py,demo_episodic_memory,demo_episodic_memory,,candidate,function-name
memory,ciel_omega/ext/ext18.py,restore,restore,,candidate,function-name
memory,ciel_omega/inference/topology_api.py,sync_to_phase,sync_to_phase,,candidate,function-name
memory,ciel_omega/memory/affective_memory.py,compute_consolidation_score,compute_consolidation_score,1,candidate,function-name
memory,ciel_omega/memory/affective_memory.py,consolidate_candidate,consolidate_candidate,1,candidate,function-name
memory,ciel_omega/memory/affective_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/audit_journal.py,log_consolidation,log_consolidation,1,candidate,function-name
memory,ciel_omega/memory/base.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/braid_invariant.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/episodic.py,_should_consolidate,_should_consolidate,1,candidate,function-name
memory,ciel_omega/memory/episodic.py,compute_consolidation_score,compute_consolidation_score,1,candidate,function-name
memory,ciel_omega/memory/episodic.py,get_consolidation_candidates,get_consolidation_candidates,1,candidate,function-name
memory,ciel_omega/memory/episodic.py,mark_consolidated,mark_consolidated,1,candidate,function-name
memory,ciel_omega/memory/episodic.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/holonomy.py,check_consolidation_validity,check_consolidation_validity,1,candidate,function-name
memory,ciel_omega/memory/identity_memory.py,compute_consolidation_score,compute_consolidation_score,1,candidate,function-name
memory,ciel_omega/memory/identity_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/long_term.py,restore,restore,,candidate,function-name
memory,ciel_omega/memory/perceptual_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/potential.py,compute_global_memory_defect,compute_global_memory_defect,2,candidate,function-name
memory,ciel_omega/memory/procedural_memory.py,compute_consolidation_score,compute_consolidation_score,1,candidate,function-name
memory,ciel_omega/memory/procedural_memory.py,consolidate_candidate,consolidate_candidate,1,candidate,function-name
memory,ciel_omega/memory/procedural_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/semantic_memory.py,compute_consolidation_score,compute_consolidation_score,1,candidate,function-name
memory,ciel_omega/memory/semantic_memory.py,consolidate_candidate,consolidate_candidate,1,candidate,function-name
memory,ciel_omega/memory/semantic_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/memory/working_memory.py,store,store,1,candidate,function-name
memory,ciel_omega/test_affective_memory_consolidation.py,test_3_contradictions_block_consolidation,test_3_contradictions_block_consolidation,,candidate,function-name
memory,ciel_omega/test_holonomic_orchestrator.py,test_repeated_alert_consolidates_affective,test_repeated_alert_consolidates_affective,,candidate,function-name
memory,ciel_omega/test_holonomic_orchestrator.py,test_repeated_fact_consolidates_semantic,test_repeated_fact_consolidates_semantic,,candidate,function-name
memory,ciel_omega/test_holonomic_orchestrator.py,test_repeated_goal_action_consolidates_procedural,test_repeated_goal_action_consolidates_procedural,,candidate,function-name
memory,ciel_omega/test_memory_sector_integration.py,test_memory_sector_integration_pipeline,test_memory_sector_integration_pipeline,,candidate,function-name
memory,ciel_omega/test_procedural_memory_consolidation.py,test_3_contradiction_blocks_consolidation,test_3_contradiction_blocks_consolidation,,candidate,function-name
memory,ciel_omega/test_semantic_memory_consolidation.py,test_3_contradictions_block_consolidation,test_3_contradictions_block_consolidation,,candidate,function-name
memory,ciel_omega/vocabulary/orchestrator.py,integrate_with_layer_8_memory,integrate_with_layer_8_memory,3,candidate,function-name
