runtime_path,module,indegree,outdegree,orchestrator_depth,in_scc_gt_1
ciel_omega/__init__.py,ciel_omega,0,0,,0
ciel_omega/bio/__init__.py,ciel_omega.bio,0,0,,0
ciel_omega/bio/crystal_receiver.py,ciel_omega.bio.crystal_receiver,0,0,,0
ciel_omega/bio/eeg_emotion_mapper.py,ciel_omega.bio.eeg_emotion_mapper,0,0,,0
ciel_omega/bio/eeg_processor.py,ciel_omega.bio.eeg_processor,0,0,,0
ciel_omega/bio/schumann.py,ciel_omega.bio.schumann,0,0,,0
ciel_omega/bridge/__init__.py,ciel_omega.bridge,0,0,,0
ciel_omega/bridge/memory_core_phase_bridge.py,ciel_omega.bridge.memory_core_phase_bridge,1,6,,0
ciel_omega/calibration/__init__.py,ciel_omega.calibration,0,0,,0
ciel_omega/calibration/rcde.py,ciel_omega.calibration.rcde,0,0,,0
ciel_omega/ciel/__init__.py,ciel_omega.ciel,0,0,,0
ciel_omega/ciel/__main__.py,ciel_omega.ciel.__main__,0,2,0,0
ciel_omega/ciel/cli.py,ciel_omega.ciel.cli,0,0,0,0
ciel_omega/ciel/engine.py,ciel_omega.ciel.engine,1,0,1,0
ciel_omega/ciel/gguf_backends.py,ciel_omega.ciel.gguf_backends,1,1,2,0
ciel_omega/ciel/hf_backends.py,ciel_omega.ciel.hf_backends,1,1,2,0
ciel_omega/ciel/language_backend.py,ciel_omega.ciel.language_backend,3,0,2,0
ciel_omega/ciel/llm_registry.py,ciel_omega.ciel.llm_registry,1,3,1,0
ciel_omega/ciel/memory/__init__.py,ciel_omega.ciel.memory,0,0,,0
ciel_omega/ciel_client.py,ciel_omega.ciel_client,0,0,0,0
ciel_omega/ciel_io/__init__.py,ciel_omega.ciel_io,0,0,,0
ciel_omega/ciel_io/bootstrap.py,ciel_omega.ciel_io.bootstrap,0,0,,0
ciel_omega/ciel_io/reality_logger.py,ciel_omega.ciel_io.reality_logger,0,0,,0
ciel_omega/ciel_io/simple_loader.py,ciel_omega.ciel_io.simple_loader,0,0,,0
ciel_omega/ciel_orchestrator.py,ciel_omega.ciel_orchestrator,1,0,0,0
ciel_omega/ciel_wave/__init__.py,ciel_omega.ciel_wave,0,0,,0
ciel_omega/ciel_wave/fourier_kernel.py,ciel_omega.ciel_wave.fourier_kernel,0,0,,0
ciel_omega/cognition/__init__.py,ciel_omega.cognition,0,0,,0
ciel_omega/cognition/decision.py,ciel_omega.cognition.decision,0,0,,0
ciel_omega/cognition/dissociation.py,ciel_omega.cognition.dissociation,0,0,,0
ciel_omega/cognition/introspection.py,ciel_omega.cognition.introspection,0,0,,0
ciel_omega/cognition/intuition.py,ciel_omega.cognition.intuition,0,0,,0
ciel_omega/cognition/orchestrator.py,ciel_omega.cognition.orchestrator,0,0,0,0
ciel_omega/cognition/perception.py,ciel_omega.cognition.perception,0,0,,0
ciel_omega/cognition/prediction.py,ciel_omega.cognition.prediction,0,0,,0
ciel_omega/compute/__init__.py,ciel_omega.compute,0,0,,0
ciel_omega/compute/gpu_engine.py,ciel_omega.compute.gpu_engine,0,0,,0
ciel_omega/config/__init__.py,ciel_omega.config,0,0,,0
ciel_omega/config/ciel_config.py,ciel_omega.config.ciel_config,0,0,,0
ciel_omega/config/constants.py,ciel_omega.config.constants,0,0,,0
ciel_omega/config/reality_layers.py,ciel_omega.config.reality_layers,0,0,,0
ciel_omega/conftest.py,ciel_omega.conftest,0,0,,0
ciel_omega/constraints/__init__.py,ciel_omega.constraints,0,0,,0
ciel_omega/constraints/euler_constraint.py,ciel_omega.constraints.euler_constraint,1,1,,0
ciel_omega/core/__init__.py,ciel_omega.core,0,0,,0
ciel_omega/core/base.py,ciel_omega.core.base,0,0,,0
ciel_omega/core/braid/__init__.py,ciel_omega.core.braid,0,0,,0
ciel_omega/core/braid/adapter.py,ciel_omega.core.braid.adapter,0,2,,0
ciel_omega/core/braid/defaults.py,ciel_omega.core.braid.defaults,0,7,,0
ciel_omega/core/braid/glyphs.py,ciel_omega.core.braid.glyphs,3,2,,1
ciel_omega/core/braid/loops.py,ciel_omega.core.braid.loops,5,1,,1
ciel_omega/core/braid/memory.py,ciel_omega.core.braid.memory,3,0,,0
ciel_omega/core/braid/phase_field.py,ciel_omega.core.braid.phase_field,2,0,,0
ciel_omega/core/braid/runtime.py,ciel_omega.core.braid.runtime,2,6,,0
ciel_omega/core/braid/scars.py,ciel_omega.core.braid.scars,2,0,,0
ciel_omega/core/braid/scheduler.py,ciel_omega.core.braid.scheduler,2,1,,0
ciel_omega/core/math_utils.py,ciel_omega.core.math_utils,0,0,,0
ciel_omega/core/physics/__init__.py,ciel_omega.core.physics,0,0,,0
ciel_omega/core/physics/ciel0_framework.py,ciel_omega.core.physics.ciel0_framework,1,0,,0
ciel_omega/core/physics/csf_simulator.py,ciel_omega.core.physics.csf_simulator,0,0,,0
ciel_omega/core/physics/definite_kernel.py,ciel_omega.core.physics.definite_kernel,0,0,,0
ciel_omega/core/physics/reality_expander.py,ciel_omega.core.physics.reality_expander,0,0,,0
ciel_omega/core/physics/reality_laws.py,ciel_omega.core.physics.reality_laws,0,0,,0
ciel_omega/core/quantum/__init__.py,ciel_omega.core.quantum,0,0,,0
ciel_omega/core/quantum/quantum_engine.py,ciel_omega.core.quantum.quantum_engine,0,0,,0
ciel_omega/core/quantum/quantum_optimiser.py,ciel_omega.core.quantum.quantum_optimiser,0,0,,0
ciel_omega/core/quantum/resonance_kernel.py,ciel_omega.core.quantum.resonance_kernel,0,0,,0
ciel_omega/coriolis_cymatics.py,ciel_omega.coriolis_cymatics,0,0,,0
ciel_omega/demo_ciel_omega_complete.py,ciel_omega.demo_ciel_omega_complete,0,0,,0
ciel_omega/demo_full_pipeline.py,ciel_omega.demo_full_pipeline,0,0,,0
ciel_omega/demo_holonomic_orchestrator.py,ciel_omega.demo_holonomic_orchestrator,0,0,0,0
ciel_omega/demo_holonomy_eba.py,ciel_omega.demo_holonomy_eba,0,0,,0
ciel_omega/demo_m0_perceptual_memory.py,ciel_omega.demo_m0_perceptual_memory,0,0,,0
ciel_omega/demo_m1_working_memory.py,ciel_omega.demo_m1_working_memory,0,0,,0
ciel_omega/demo_m3_semantic_memory.py,ciel_omega.demo_m3_semantic_memory,0,0,,0
ciel_omega/demo_m4_procedural_memory.py,ciel_omega.demo_m4_procedural_memory,0,0,,0
