path,layer,function_name,lineno,assign,call,if,loop,return,binop,compare,try,comprehension
src/ciel_sot_agent/repo_phase.py,source_core,load_registry,22,5,12,0,1,1,1,0,0,0
src/ciel_sot_agent/repo_phase.py,source_core,load_couplings,40,2,9,0,0,1,1,0,0,2
src/ciel_sot_agent/repo_phase.py,source_core,weighted_euler_vector,49,2,1,0,1,1,2,0,0,0
src/ciel_sot_agent/repo_phase.py,source_core,closure_defect,56,3,7,1,0,2,2,1,0,1
src/ciel_sot_agent/repo_phase.py,source_core,pairwise_tension,65,0,2,0,0,1,3,0,0,0
src/ciel_sot_agent/repo_phase.py,source_core,all_pairwise_tensions,69,1,7,2,2,1,0,2,0,0
src/ciel_sot_agent/repo_phase.py,source_core,build_sync_report,92,5,9,0,0,1,2,0,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,wrap_angle,26,2,0,0,2,1,2,2,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,_github_json,34,3,5,1,0,1,1,0,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,fetch_head,46,5,11,0,0,1,1,0,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,load_upstreams,60,2,18,0,1,1,1,1,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,load_runtime_state,77,1,4,1,0,2,1,0,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,propagate_phase_changes,84,11,15,4,3,1,7,5,0,0
src/ciel_sot_agent/gh_coupling.py,source_core,build_live_coupling,130,31,43,3,1,1,14,1,1,1
src/ciel_sot_agent/gh_coupling.py,source_core,main,260,2,5,0,0,1,0,0,0,0
src/ciel_sot_agent/index_validator.py,source_core,load_index_registry,37,0,3,0,0,1,1,0,0,0
src/ciel_sot_agent/index_validator.py,source_core,load_json_file,41,0,3,0,0,1,1,0,0,0
src/ciel_sot_agent/index_validator.py,source_core,validate_demo_shell_inventory_data,45,5,32,7,1,2,1,2,0,0
src/ciel_sot_agent/index_validator.py,source_core,validate_demo_shell_map_data,84,12,70,19,3,2,1,12,0,2
src/ciel_sot_agent/index_validator.py,source_core,validate_relational_mechanism_import_data,170,5,22,5,0,2,0,1,0,0
src/ciel_sot_agent/index_validator.py,source_core,validate_index_registry,193,33,90,17,5,1,9,10,3,2
src/ciel_sot_agent/index_validator.py,source_core,main,306,2,5,1,1,2,0,1,0,1
src/ciel_sot_agent/synchronize.py,source_core,main,9,4,5,0,0,1,4,0,0,0
