path,function_name,lineno,end_lineno,arg_count,assign_count,call_count,if_count,loop_count,return_count,binop_count,compare_count,comprehension_count,try_count,called_functions_sample,is_critical_mechanism_function
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_param,8,9,3,0,2,0,0,1,0,0,0,0,float;get,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,bloch_vector,11,12,2,0,5,0,0,1,2,0,0,0,cos;sin,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_radius,14,15,1,0,2,0,0,1,1,0,0,0,tan;tanh,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,theta_from_rho,17,19,1,1,4,0,0,1,1,0,0,0,atan;atanh;max;min,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,poincare_distance,21,29,4,7,10,0,0,1,16,0,0,0,abs;acosh;cos;max;min;poincare_radius,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,berry_pair_phase,31,34,4,2,1,0,0,1,10,0,0,0,cos,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,_complex_coupling,36,43,10,4,6,1,0,2,11,1,0,0,berry_pair_phase;exp;log;max;poincare_distance,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_ij,45,56,3,9,6,1,0,2,4,1,0,0,_complex_coupling;_param;coupling,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_i_zeta_vertex_raw,58,66,3,7,5,0,0,1,3,0,0,0,_complex_coupling;_param,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,heisenberg_soft_clip,68,71,2,0,2,1,0,2,5,1,0,0,abs;sqrt,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_i_zeta_vertex,73,77,3,3,5,0,0,1,2,0,0,0,A_i_zeta_vertex_raw;_param;heisenberg_soft_clip,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_i_zeta,79,85,2,2,1,1,1,2,2,1,0,0,A_i_zeta_vertex,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_matrix,87,94,1,4,5,0,2,1,0,1,0,0,A_ij;abs;names;phase,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,A_numpy,96,102,1,4,6,0,2,1,0,0,0,0,A_ij;enumerate;len;names;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,spectral_observables,104,118,1,12,23,0,0,1,4,2,2,0,A_numpy;abs;diag;eigvals;eigvalsh;float;len;sorted;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,zeta_tetra_defect,120,129,1,4,7,1,2,2,6,1,2,0,bloch_vector;len;range;sum;zip,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,effective_tau_zeta,131,134,1,0,1,1,0,2,1,1,1,0,sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,effective_phase_zeta,136,140,1,1,4,1,0,2,2,2,1,0,abs;exp;phase;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,zeta_coupling_norm,142,145,1,0,4,1,0,2,0,1,1,0,A_i_zeta;abs;names;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,zeta_coupling_norm_raw,147,153,1,2,4,1,1,2,0,1,1,0,A_i_zeta_vertex_raw;abs;names;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,homology_compatibility,155,160,2,2,5,1,0,2,2,1,1,0,A_i_zeta;A_i_zeta_vertex_raw;abs;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,closure_residuals,162,174,1,8,7,1,2,1,5,1,0,0,A_i_zeta;A_ij;abs;effective_tau_zeta;exp;names,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,closure_penalty,176,181,1,3,5,1,0,1,2,1,1,0,_param;closure_residuals;sum;values;zeta_tetra_defect,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,local_vorticity,183,204,1,14,14,2,3,1,12,2,0,0,A_i_zeta_vertex;A_ij;abs;max;names;phase;poincare_radius;sin,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,global_chirality,206,212,1,4,2,0,1,1,3,0,0,0,items;local_vorticity,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,effective_mass,214,236,3,17,16,4,3,1,25,4,0,0,A_i_zeta_vertex;A_ij;_param;abs;bloch_vector;closure_residuals;max;min;names,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,holonomy_defect,238,250,1,9,9,1,1,1,12,1,0,0,_param;effective_phase_zeta;exp;sqrt;values,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,global_coherence,252,253,1,0,2,0,0,1,1,0,0,0,abs;holonomy_defect,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,chord_tension,255,271,1,14,16,2,3,1,19,2,0,0,A_i_zeta_vertex;A_ij;_param;abs;bloch_vector;enumerate;max;min;names;zeta_tetra_defect,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,closure_details,273,289,1,11,11,1,2,1,11,1,0,0,A_i_zeta;A_ij;abs;effective_tau_zeta;exp;names;phase,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,radial_spread,291,294,1,2,6,0,0,1,4,0,2,0,len;sqrt;sum;values,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/metrics.py,total_relational_potential,296,301,1,4,8,0,0,1,7,0,0,0,_param;chord_tension;closure_penalty;global_coherence;zeta_tetra_defect,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_wrap,72,73,1,0,1,0,0,1,2,0,0,0,float,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_circ_mean,76,79,1,0,4,1,0,2,1,1,0,0,angle;exp;float;mean,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_safe_angle_mean,82,84,1,1,4,0,0,1,0,0,0,0,_circ_mean;_wrap;angle;ravel,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_build_core_phase_vector,87,93,1,5,14,0,0,1,2,0,0,0,_safe_angle_mean;_wrap;array;asarray;float;mean;tanh,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_canonical_id_to_phase,96,99,1,2,6,0,0,1,4,0,0,0,_wrap;digest;encode;float;from_bytes;sha256,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_priority_weight,102,106,1,0,2,0,0,2,0,0,0,1,float;get,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_build_vocabulary_phase_vector,109,126,2,6,13,4,1,1,4,0,0,0,_canonical_id_to_phase;_priority_weight;append;asarray;extend;get;int;max;round;str,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_build_affect_phase_vector,129,141,1,6,14,0,0,1,10,0,0,0,_wrap;asarray;float;get;tanh,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_memory_stats,144,157,1,6,16,2,1,2,0,1,0,0,append;bool;float;get;getattr;isinstance;max;mean;values,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_sector_metrics,160,166,1,4,5,0,1,1,0,0,0,0,euler_constraint_violation;float;items;phase_sector,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_pairwise_tension,169,178,2,6,13,0,2,1,7,0,0,0,abs;atan2;cos;float;get;keys;len;list;range;sin,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,circular_target_phase,181,192,3,4,10,1,1,2,7,1,0,0,_wrap;abs;angle;dict;exp;float;get;items,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,regulation_strength,195,204,2,5,5,1,0,1,6,1,0,0,clip;float;isinstance,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,evaluate_unified_euler_constraint,207,270,7,19,34,0,0,1,18,1,2,0,EulerConstraintReport;_build_affect_phase_vector;_build_core_phase_vector;_build_vocabulary_phase_vector;_memory_stats;_pairwise_tension;_sector_metrics;asarray;circular_target_phase;clip;concatenate;dict,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,_apply_phase_pull,273,277,3,1,3,1,0,2,5,1,0,0,angle;exp;mod,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,apply_active_euler_feedback,280,345,7,26,42,3,1,1,19,2,1,0,_apply_phase_pull;_wrap;abs;angle;asarray;atan2;copy;cos;enumerate;evaluate_unified_euler_constraint;exp;float,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,as_dict,59,60,1,0,1,0,0,1,0,0,0,0,asdict,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,euler_constraint_violation,24,28,1,1,5,1,0,2,1,1,0,0,abs;asarray;exp;float;mean,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,phase_sector,30,34,1,1,5,1,0,2,1,1,0,0,angle;asarray;exp;float;mean,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,delta_H,45,47,1,0,2,0,0,1,1,0,0,0,exp;sum,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,R_H,50,52,1,0,4,0,0,1,3,0,0,0,abs;delta_H;float;len,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,dR_H_dgamma,55,72,1,2,7,0,0,1,5,0,1,0,array;conj;delta_H;exp;imag;len;range,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,V_information,75,100,2,2,2,0,0,1,4,0,0,0,R_H;cos,1
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,dV_I_dgamma,103,119,2,7,4,0,0,1,6,0,0,0,R_H;cos;dR_H_dgamma;sin,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,V_deformation,122,130,2,0,0,0,0,1,0,0,0,0,,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,V_total,133,139,5,0,3,0,0,1,4,0,0,0,R_H;V_deformation;V_information,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,dV_total_dgamma,142,149,4,0,2,0,0,1,3,0,0,0,dR_H_dgamma;dV_I_dgamma,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,white_thread_current,156,191,3,7,7,2,2,1,5,2,0,0,len;linspace;outer;range;sin;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,white_thread_zeta_weighted,198,221,4,4,3,1,0,2,3,1,0,0,max;white_thread_current;zeta_selection,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,make_zeta_wt_fn,224,232,1,0,1,0,0,2,0,0,0,0,white_thread_zeta_weighted,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,collatz_sequence,234,243,2,3,3,1,1,1,5,2,0,0,append;array;range,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,collatz_rhythm,246,251,1,2,4,0,1,1,1,1,0,0,len;range;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,collatz_forcing,254,270,4,0,1,0,0,1,3,0,0,0,sin,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,acceleration,277,326,14,12,8,2,1,2,15,1,0,0,collatz_forcing;dV_total_dgamma;len;range;white_thread_current;wt_fn;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,wrap_angle,542,544,1,0,0,0,0,1,4,0,0,0,,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,heisenberg_load,547,580,8,7,10,1,0,1,22,1,0,0,float;len;max;std,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,fermion_lock_score,583,607,4,5,8,2,0,2,8,2,0,0,abs;float;len;min;wrap_angle,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,phase_sector,626,640,1,0,1,0,0,1,2,0,0,0,sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,euler_constraint_violation,643,652,1,1,2,0,0,1,6,0,0,0,min;sum,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,power_balance,659,691,6,5,10,0,0,1,4,0,0,0,dot;float,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,zeta_selection,698,722,2,8,9,1,1,1,9,1,1,0,abs;complex;len;range;sum;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,zeta_schrodinger_anomaly,725,764,3,8,10,0,1,1,2,0,0,0,abs;copy;dot;float;len;range;zeros;zeta_selection,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,demo,771,888,0,13,51,3,2,0,15,3,2,0,PhaseInfoSystem;abs;array;copy;enumerate;evolve;len;max;mean;perturb_phase;print;set_context_rotation,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,_wt,230,231,2,0,1,0,0,1,0,0,0,0,white_thread_zeta_weighted,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,__post_init__,381,393,1,8,8,1,1,0,7,2,0,0,collatz_rhythm;collatz_sequence;len;log;max;range;zeros,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,_collatz_at,395,398,2,1,3,0,0,1,1,0,0,0,float;len,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,step,400,519,2,33,25,1,0,1,37,1,0,0,R_H;V_total;_collatz_at;abs;acceleration;append;copy;delta_H;dict;euler_constraint_violation;fermion_lock_score;float,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,evolve,521,523,3,0,2,0,1,0,0,0,0,0,range;step,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,set_context_rotation,525,527,2,1,0,0,0,0,0,0,0,0,,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,set_truth_target,529,531,2,1,0,0,0,0,0,0,0,0,,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,perturb_phase,533,535,3,1,0,0,0,0,0,0,0,0,,0
data/source/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,show_state,780,790,3,1,4,1,1,0,0,1,0,0,len;print,0
