runtime_path,orchestrator_depth,tau_i,gamma_i,Delta_H,R_H,V_rel,epsilon,D,W_ij,A_ij,Sigma_i,EulerBerry,tetrahedral_frame,reduction,memory,orchestrator,total_symbol_hits
ciel_omega/memory/orchestrator.py,0,0,0,0,0,0,0,0,5,0,0,2,0,0,31,12,50
ciel_omega/ciel_orchestrator.py,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,12,28
ciel_omega/runtime/omega/omega_runtime.py,0,0,0,0,0,0,0,0,0,2,15,0,0,0,9,1,27
ciel_omega/unified_system.py,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,9,19
ciel_omega/runtime/controller.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,1,0,0,0,0,0,0,0,1,2,12,15,0,0,22,7,59
ciel_omega/memory/holonomy.py,1,0,0,0,0,0,0,0,5,1,0,19,0,0,30,0,55
ciel_omega/memory/braid_invariant.py,1,1,0,0,0,0,0,0,25,1,0,0,0,0,15,0,42
ciel_omega/memory/base.py,1,14,0,0,0,0,0,0,0,0,0,0,0,0,22,0,36
ciel_omega/memory/audit_journal.py,1,0,0,0,0,0,0,0,2,6,0,0,0,0,19,4,31
ciel_omega/memory/dynamics.py,1,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,28
ciel_omega/memory/episodic.py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
ciel_omega/memory/identity_memory.py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
ciel_omega/memory/procedural_memory.py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
ciel_omega/memory/semantic_memory.py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
ciel_omega/memory/working_memory.py,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8
ciel_omega/memory/affective_memory.py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
ciel_omega/memory/perceptual_memory.py,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
ciel_omega/memory/orchestrator_types.py,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,6
ciel_omega/constraints/euler_constraint.py,2,0,0,0,0,0,0,0,0,7,0,32,0,0,42,0,81
ciel_omega/memory/coupling.py,2,1,0,0,0,0,0,0,0,27,6,0,0,0,4,0,38
ciel_omega/memory/potential.py,2,2,0,0,0,0,0,0,3,1,0,0,0,0,26,0,32
ciel_omega/core/physics/ciel0_framework.py,2,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23
ciel_omega/vocabulary/__init__.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
ciel_omega/memory/identity_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ciel_omega/memory/affective_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ciel_omega/memory/perceptual_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ciel_omega/memory/procedural_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ciel_omega/memory/semantic_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ciel_omega/memory/working_types.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ciel_omega/vocabulary_tools/resolver.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/vocabulary_tools/symbol_extractor.py,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/phase_equation_of_motion.py,3,0,85,5,30,7,0,0,16,4,13,7,0,0,0,0,167
ciel_omega/vocabulary/orchestrator.py,3,0,0,0,0,0,1,0,0,1,12,0,0,0,18,4,36
ciel_omega/vocabulary/planetary_archetypes.py,3,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,18
ciel_omega/vocabulary/extended_concepts.py,3,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,8
ciel_omega/vocabulary/field_dynamics.py,3,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,7
ciel_omega/vocabulary/core_concepts.py,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ciel_omega/vocabulary/transcendent.py,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ciel_omega/demo_full_pipeline.py,,1,2,0,0,0,0,0,0,6,88,0,0,0,13,3,113
ciel_omega/memory/monolith/unified_memory.py,,0,8,0,0,0,0,62,0,8,0,0,0,0,21,7,106
ciel_omega/holonomy_cosmic_seismic.py,,18,0,14,11,0,0,8,29,0,0,10,0,0,0,0,90
ciel_omega/ext/ext20.py,,0,0,0,0,0,0,0,0,8,48,0,0,0,7,1,64
ciel_omega/memory/__init__.py,,0,0,0,0,0,0,0,5,0,0,0,0,0,48,8,61
ciel_omega/demo_memory_system.py,,0,0,0,0,0,0,0,2,0,0,0,0,0,56,1,59
ciel_omega/test_m6_1_acceptance.py,,0,0,0,0,0,0,4,0,6,0,0,0,0,45,0,55
ciel_omega/ext/ext21.py,,0,0,0,0,0,0,3,0,12,0,0,0,0,39,0,54
ciel_omega/runtime/agent/adam_core.py,,0,0,0,0,0,0,3,0,12,0,0,0,0,39,0,54
ciel_omega/ext/ext18.py,,0,0,0,0,0,0,0,0,0,45,0,0,0,6,0,51
ciel_omega/orbital/metrics.py,,7,8,0,0,0,0,0,2,2,8,16,8,0,0,0,51
ciel_omega/orbital/extract_geometry.py,,1,0,0,0,0,0,4,0,33,0,1,0,0,11,0,50
ciel_omega/core/physics/definite_kernel.py,,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,48
ciel_omega/demo_m6_identity_memory.py,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48
ciel_omega/experiments/intentional_tetra_or/dual_tetra_or.py,,0,1,0,4,0,0,0,0,0,4,0,38,0,0,0,47
ciel_omega/phase_sweep_analysis.py,,0,1,0,11,0,0,0,3,0,20,8,0,0,0,0,43
ciel_omega/relational_formalism.py,,0,0,0,25,6,0,10,0,0,0,0,0,0,0,0,41
ciel_omega/demo_validation_fixes.py,,0,0,0,0,0,0,0,0,11,0,0,0,0,28,1,40
ciel_omega/demo_holonomy_eba.py,,0,0,0,0,0,0,0,5,8,2,15,0,0,8,0,38
ciel_omega/memory/monolith/cli.py,,0,0,0,0,0,0,7,0,5,0,0,0,0,20,5,37
ciel_omega/monolit.py,,12,2,2,9,0,0,2,5,0,1,4,0,0,0,0,37
ciel_omega/memory/monolith/tmp_processor.py,,0,8,0,0,0,0,19,0,2,0,0,0,0,6,0,35
