path,prov,role,type,size,lines,indeg,outdeg,pagerank,M_EC,M_ZS,M_sem,tau_local,orbit_index,w_seed
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/base.py,canon,memory,python,9278,253.0,14,0,0.011472,0.62591,0.663588,0.642865,6.279,0,0.399
CIEL_NATIVE_SYSTEM_BLUEPRINT_v0.md,architecture,axiom,text,17527,693.0,0,0,0.0,0.671788,0.574288,0.627913,5.108,0,1.357
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/phase_equation_of_motion.py,canon,constraint,python,35749,892.0,1,0,0.003784,0.589869,0.666051,0.624151,5.392,0,0.875
01_CIEL_Orbital_Master_Plan.md,architecture,axiom,text,18855,430.0,0,0,0.0,0.665468,0.567968,0.621593,5.08,0,0.367
01_CIEL_Orbital_Master_Plan.yaml,architecture,axiom,text,19197,413.0,0,0,0.0,0.664935,0.567435,0.62106,5.077,0,1.044
01_MASTER_ARCHITECTURE_AND_PLAN.md,architecture,axiom,text,11215,404.0,0,0,0.0,0.664643,0.567143,0.620768,5.076,0,0.861
01_MASTER_ARCHITECTURE_AND_PLAN.yaml,architecture,axiom,text,11292,349.0,0,0,0.0,0.662707,0.565207,0.618832,5.067,0,1.265
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/holonomy.py,canon,constraint,python,12033,341.0,3,4,0.003418,0.584933,0.6578,0.617723,5.403,0,0.53
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/core_concepts.py,canon,vocabulary,python,22345,783.0,5,0,0.00618,0.577069,0.666955,0.617518,5.611,0,1.317
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/potential.py,canon,constraint,python,17256,461.0,2,5,0.003198,0.583823,0.657144,0.616817,5.357,0,0.272
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/constraints/euler_constraint.py,canon,constraint,python,14323,345.0,2,2,0.003488,0.580851,0.655037,0.614235,5.361,0,1.142
CIEL_OMEGA_COMPLETE_SYSTEM/CANONICAL_BUILD_MANIFEST.md,canon,axiom,text,3004,79.0,0,0,0.0,0.658129,0.558129,0.613129,5.109,0,1.462
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/holonomy_cosmic_seismic.py,canon,constraint,python,20166,576.0,0,0,0.002302,0.575206,0.648074,0.607997,5.21,0,0.958
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/MEMORY_SECTOR_MANIFEST.md,canon,axiom,text,1030,33.0,0,0,0.0,0.646778,0.546778,0.601778,5.058,0,0.026
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ciel/llm_registry.py,canon,axiom,python,12548,390.0,1,5,0.002791,0.591949,0.599165,0.595196,5.208,0,1.24
CIEL_OMEGA_COMPLETE_SYSTEM/MERGE_MANIFEST.md,canon,axiom,text,846,19.0,0,0,0.0,0.639739,0.539739,0.594739,5.026,0,0.795
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ethics/ethical_engine.py,canon,constraint,python,3222,100.0,0,0,0.002302,0.552089,0.624957,0.584879,5.106,0,0.987
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/field_dynamics.py,canon,vocabulary,python,12223,394.0,2,3,0.003341,0.546169,0.630916,0.584305,5.219,0,0.51
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/fields/intention_field.py,canon,constraint,python,1708,57.0,1,0,0.002954,0.551121,0.624825,0.584288,5.168,0,0.209
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/coupling.py,canon,memory,python,12350,325.0,5,3,0.005283,0.570751,0.599959,0.583895,5.411,0,0.429
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/episodic.py,canon,memory,python,12261,347.0,5,3,0.00434,0.568805,0.595201,0.580683,5.346,0,0.117
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/transcendent.py,canon,vocabulary,python,9504,256.0,2,3,0.003341,0.540468,0.625215,0.578604,5.193,0,0.719
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/extended_concepts.py,canon,vocabulary,python,8453,222.0,2,3,0.003341,0.538585,0.623332,0.576721,5.185,0,1.219
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary.yaml,canon,vocabulary,text,25129,1076.0,0,0,0.0,0.540617,0.617617,0.575267,4.939,0,0.777
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/orchestrator.py,canon,runtime,python,16764,518.0,1,7,0.002979,0.560267,0.591546,0.574343,5.125,0,0.205
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/orchestrator.py,canon,runtime,python,17533,373.0,2,15,0.002907,0.560151,0.590105,0.57363,5.148,0,0.737
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/agent/adam_core.py,canon,runtime,python,32772,813.0,0,0,0.002302,0.559771,0.590139,0.573437,5.054,0,0.076
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/planetary_archetypes.py,canon,axiom,python,8523,300.0,2,0,0.003341,0.694564,0.602311,0.57305,5.168,0,1.311
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary_tools/resolver.py,canon,vocabulary,python,2561,74.0,3,0,0.004411,0.531767,0.618595,0.57084,5.246,0,1.307
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ethics/ethics_guard.py,canon,constraint,python,1071,34.0,0,0,0.002302,0.538031,0.610899,0.570821,5.042,0,0.551
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/registry.py,canon,axiom,python,1712,35.0,2,3,0.003383,0.566521,0.574395,0.570064,5.157,0,0.363
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/identity_memory.py,canon,memory,python,17902,469.0,2,4,0.002874,0.555084,0.580439,0.566494,5.114,0,0.706
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/dynamics.py,canon,memory,python,13974,405.0,2,5,0.002874,0.553142,0.578497,0.564552,5.105,0,1.391
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/core/braid/runtime.py,canon,runtime,python,3480,113.0,3,9,0.003452,0.550461,0.580929,0.564172,5.164,0,0.774
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/audit_journal.py,canon,memory,python,12610,366.0,2,3,0.002874,0.551802,0.577158,0.563212,5.099,0,1.432
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/affective_memory.py,canon,memory,python,16193,356.0,2,5,0.002874,0.551436,0.576791,0.562846,5.097,0,1.025
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ciel/gguf_backends.py,canon,runtime,python,7004,219.0,1,3,0.002776,0.548276,0.578949,0.562079,5.058,0,0.988
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/unified_memory.py,canon,memory,python,27895,733.0,0,0,0.002302,0.550399,0.576267,0.56204,5.003,0,0.344
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ciel_orchestrator.py,canon,runtime,python,7568,214.0,1,0,0.002791,0.548015,0.578732,0.561837,5.058,0,1.359
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/procedural_memory.py,canon,memory,python,14702,327.0,2,5,0.002874,0.550312,0.575667,0.561722,5.092,0,0.395
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/semantic_memory.py,canon,memory,python,13230,325.0,2,5,0.002874,0.550231,0.575586,0.561641,5.092,0,0.345
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/bridge/memory_core_phase_bridge.py,canon,runtime,python,9460,199.0,1,12,0.002791,0.547056,0.577772,0.560878,5.054,0,0.274
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/braid_invariant.py,canon,memory,python,10000,287.0,2,3,0.002874,0.548587,0.573942,0.559997,5.084,0,1.025
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary_tools/symbol_extractor.py,canon,vocabulary,python,1701,52.0,2,3,0.003437,0.519811,0.604844,0.558076,5.106,0,0.576
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/working_memory.py,canon,memory,python,9430,223.0,2,4,0.002874,0.545253,0.570608,0.556663,5.069,0,1.131
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/perceptual_memory.py,canon,memory,python,9497,221.0,2,4,0.002874,0.545134,0.570489,0.556544,5.069,0,1.252
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ciel/hf_backends.py,canon,runtime,python,4589,134.0,1,3,0.002776,0.541798,0.572471,0.555601,5.029,0,1.3
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/orbital/rh_control.py,canon,runtime,python,4224,122.0,1,0,0.003057,0.541402,0.572914,0.555582,5.044,0,0.372
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/identity_types.py,canon,memory,python,6532,164.0,2,0,0.00332,0.542529,0.569215,0.554538,5.084,0,0.466
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/symbolic/glyph_interpreter.py,canon,vocabulary,python,2764,87.0,0,0,0.002302,0.514261,0.598129,0.552002,4.958,0,1.256
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/core/braid/memory.py,canon,memory,python,1406,57.0,4,0,0.004062,0.539761,0.566438,0.551766,5.171,0,0.063
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/inference/gguf_backend.py,canon,runtime,python,3219,92.0,1,0,0.002773,0.536846,0.56751,0.550644,5.007,0,1.262
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ciel/language_backend.py,canon,runtime,python,514,28.0,3,0,0.004349,0.53498,0.568126,0.549896,5.148,0,0.85
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/orchestrator_types.py,canon,runtime,python,1520,61.0,2,0,0.002874,0.536214,0.566069,0.549649,5.038,0,0.911
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/runtime/agent/adam_memory.py,canon,runtime,python,4703,129.0,0,0,0.002302,0.535437,0.565805,0.549103,4.945,0,0.373
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/monolith/orchestrator.py,canon,runtime,python,5647,127.0,0,0,0.002302,0.535231,0.5656,0.548897,4.944,0,0.667
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/affective_types.py,canon,memory,python,2976,108.0,2,0,0.003198,0.536665,0.562986,0.548509,5.05,0,1.4
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/procedural_types.py,canon,memory,python,2851,107.0,2,0,0.003198,0.536542,0.562864,0.548387,5.05,0,0.798
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/symbolic/glyph_dataset.py,canon,vocabulary,python,2038,66.0,0,0,0.002302,0.510644,0.594512,0.548385,4.941,0,0.662
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/semantic_types.py,canon,memory,python,2710,102.0,2,0,0.003198,0.535914,0.562235,0.547758,5.047,0,0.088
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/perceptual_types.py,canon,memory,python,1537,64.0,2,0,0.00332,0.530172,0.556858,0.54218,5.028,0,0.882
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/working_types.py,canon,memory,python,1386,60.0,2,0,0.00332,0.529329,0.556015,0.541338,5.024,0,0.157
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/__init__.py,canon,other,python,289,10.0,45,0,0.033512,0.671809,0.744309,0.534434,7.905,0,0.421
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/memory/__init__.py,canon,memory,python,3957,177.0,16,26,0.012484,0.633102,0.671578,0.480417,5.662,0,1.383
00_INDEX.yaml,architecture,axiom,text,1236,32.0,0,0,0.0,0.631382,0.533882,0.587507,4.926,1,0.838
00_INDEX.md,architecture,axiom,text,531,15.0,0,0,0.0,0.621779,0.524279,0.577904,4.883,1,0.619
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/COMPLETE_DOCUMENTATION.md,canon,vocabulary,text,9731,396.0,0,0,0.0,0.527378,0.604378,0.562028,4.879,1,0.334
CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/EXECUTION_SUMMARY.md,canon,vocabulary,text,10182,363.0,0,0,0.0,0.526227,0.603227,0.560877,4.874,1,0.837
